name,amount,date,production_company,channel,format,genre,fund_name
Maia The Brave,"$520,426",Mar 2016,Pickled Possum Productions,TV 2,20 x 10 mins,Children,TV Production
Smokefree Rockquest 2016,"$319,050",Mar 2016,Commotion,The Edge TV,6 x 30 mins,Children,TV Production
Funny Girls 2,"$366,432",Mar 2016,MediaWorks TV,TV3,6 x 30 mins,Comedy,TV Production
Hartland,"$149,156",Mar 2016,NZME,NZME,10 x 15 mins,Comedy,TV Production
Sisters,"$309,513",Mar 2016,Rogue Productions,Maori Television,6 x 30 mins,Documentary,TV Production
Making New Zealand 2,"$523,169",Mar 2016,Top Shelf Productions,Prime,3 x 60 mins,Documentary,TV Platinum Fund
Sunday Specials,"$900,000",Mar 2016,TVNZ,TV One,6 x 60 mins,News / Current Affairs,TV Platinum Fund
Comedy Gala 2016,"$114,396",Dec 2015,MediaWorks TV,TV3,1 x 120 mins,Comedy,TV Production
Find Me A Maori Bride 2,"$590,000",Dec 2015,Brown Sugar Apple Grunt Productions,Maori Television,7 x 30 mins,Comedy,TV Production
My Year With Helen,"$199,000",Dec 2015,Gaylene Preston Productions,TV3,1 x 60 mins,Documentary,TV Production
Topp Country 3,"$746,007",Dec 2015,Diva Productions,TV One,10 x 30 mins,Documentary,TV Production
Q + A 2016,"$846,000",Dec 2015,TVNZ,TV One,40 x 60 mins,News / Current Affairs,TV Platinum Fund
Toa Hunter Gatherer,"$240,000",Dec 2015,Awa Films,Maori Television,8 x 30 mins,Documentary,TV Production
New Zealand: A User's Guide,"$572,632",Dec 2015,Hikoi NZ,TV3,6 x 30 mins,Documentary,TV Production
The Hui,"$400,000",Dec 2015,Great Southern Television,TV3,30 x 30 mins,News / Current Affairs,TV Platinum Fund
The Nation 2016,"$900,000",Dec 2015,MediaWorks TV,TV3,40 x 60 mins,News / Current Affairs,TV Platinum Fund
Pukana Subtitles 2016,"$58,960",Dec 2015,Cinco Cine Film Productions,FOUR,80 x 30 mins,Special Interest,TV Production
Grand Designs NZ 2,"$900,000",Dec 2015,Imagination Television,TV3,10 x 60 mins,Documentary,TV Production
The Dna Detectives 2,"$1,279,725",Dec 2015,Jam TV,TV One,6 x 60 mins,Documentary,TV Production
The Brokenwood Mysteries 3,"$4,036,000",Dec 2015,South Pacific Pictures,Prime,4 x 120 mins,Drama,TV Production
Ben And Olivia: Searching For The Truth,"$1,037,660",Dec 2015,Production Shed TV,TV One,1 x 90 mins,Documentary,TV Platinum Fund
Great War Stories 2016 & 2017,"$197,108",Dec 2015,Dnation,TV3,14 x 3 mins,Documentary,TV Production
Chief Gary,"$199,999",Sep 2015,Chief Gary,NZME,1 x 120 mins,Comedy,TV Digital Funding
7 Days 2016,"$1,056,000",Sep 2015,MediaWorks TV,TV3,32 x 30 mins,Comedy,TV Production
Anzac Day 2016,"$89,399",Sep 2015,TVNZ,TV One,1 x 90 mins,Arts/Culture,TV Production
Aotearoha - Rising Stars,"$65,782",Sep 2015,MediaWorks TV,TV3,1 x 60 mins,Comedy,TV Production
Back Benches 2016,"$618,946",Sep 2015,TVNZ,Prime,20 x 60 mins,Special Interest,TV Production
Both Worlds 5,"$399,901",Sep 2015,Notable Pictures,TV3,10 x 30 mins,Special Interest,TV Production
Darwin And Newts,"$1,523,177",Sep 2015,Darwin and Newts,TV 2,40 x 11 mins,Children,TV Production
Fresh 2016,"$1,843,571",Sep 2015,Tikilounge Productions,TV 2,40 x 30 mins,Special Interest,TV Production
Hunt For The Wilderpeople,"$199,999",Sep 2015,Majestical Productions,TV 2,1 x 120 mins,Drama,TV Production
Inside Parliament,"$471,183",Sep 2015,Top Shelf Productions Ltd,Maori Television,8 x 30 mins,Special Interest,TV Production
Jono And Ben 2016,"$1,717,042",Sep 2015,MediaWorks TV,TV3,26 x 60 mins,Comedy,TV Production
Media Take 3,"$360,285",Sep 2015,Top Shelf Productions Ltd,Maori Television,15 x 30 mins,Special Interest,TV Production
Neighbourhood 2016,"$1,434,373",Sep 2015,Satellite Media Group,TV One,35 x 30 mins,Special Interest,TV Production
Praise Be 2016,"$387,541",Sep 2015,TVNZ,TV One,54 x 30 mins,Special Interest,TV Production
"Ready, Set... Rio - Paralympics 2016","$374,139",Sep 2015,TVNZ,TV One,12 x 60 mins,Special Interest,TV Production
Rural Delivery 2016,"$1,162,640",Sep 2015,Showdown Productions,TV One,40 x 30 mins,Special Interest,TV Production
Split Enz,"$229,427",Sep 2015,Greenstone TV,Prime,1 x 90 mins,Documentary,TV Production
Sticky TV 2016,"$2,374,290",Sep 2015,Pickled Possum Productions,FOUR,274 x 35 mins,Children,TV Production
Tagata Pasifika 2016,"$1,696,165",Sep 2015,Sunpix,TV One,53 x 30 mins,Special Interest,TV Production
The Adam And Eve Show,"$3,080,400",Sep 2015,Whitebait Productions,TV 2,200 x 30 mins,Children,TV Production
The Barefoot Bandits 2,"$869,054",Sep 2015,Mukpuddy Animation,TV 2,10 x 30 mins,Children,TV Production
The Moe Show 3,"$2,202,214",Sep 2015,Pop-Up Workshop,FOUR,26 x 24 mins,Children,TV Production
Tip Top Taj Mahal,"$199,999",Sep 2015,South Pacific Pictures,Choice TV,1 x 120 mins,Drama,TV Production
What Now 2016,"$3,189,000",Sep 2015,Whitebait Productions,TV 2,40 x 120 mins,Children,TV Production
Attitude 2016,"$1,787,300",Sep 2015,Attitude Pictures,TV One,34 x 30 mins,Special Interest,TV Production
Mastermind,"$685,360",Jul 2015,Warner Bros. International Television ProductionNZ,TV One,13 x 45 mins,Arts/Culture,TV Production
Game Of Bro's,"$210,000",Jul 2015,Tikilounge Productions,Maori Television,7 x 30 mins,Documentary,TV Production
The New Sound Of Country,"$189,172",Jul 2015,Notable Pictures,Prime,1 x 60 mins,Arts/Culture,TV Production
Pike River: The Long Wait,"$939,947",Jul 2015,Screentime New Zealand,Prime,1 x 120 mins,Documentary,TV Platinum Fund
Pork Pie,"$150,000",Jul 2015,Four Knights Film,Prime,1 x 120 mins,Drama,TV Production
Sacrifice On The Somme,"$225,000",Jul 2015,Scottie Douglas Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Bombshell - The Sinking Of The Rainbow Warrior,"$2,869,573",Jul 2015,Screentime New Zealand,TV One,1 x 120 mins,Drama,TV Platinum Fund
Shearing Gang 4,"$462,450",Jul 2015,Great Southern Television,Prime,10 x 30 mins,Documentary,TV Production
Street Hospital 2,"$575,000",Jul 2015,The Gibson Group,TV 2,10 x 30 mins,Documentary,TV Production
Country Calendar 2016,"$566,720",Jul 2015,TVNZ,TV One,40 x 30 mins,Documentary,TV Production
Country Calendar 50Th Anniversary Special,"$59,800",Jul 2015,TVNZ,TV One,1 x 60 mins,Documentary,TV Production
Dirty Laundry,"$6,754,650",Jul 2015,Filthy Productions,TV One,13 x 60 mins,Drama,TV Production
Te Araroa: Tales From The Trails 2,"$295,000",Jul 2015,Scottie Douglas Productions,Maori Television,7 x 60 mins,Documentary,TV Production
Anzac 2016,"$77,450",Jul 2015,Maori Television,Maori Television,1 x 120 mins,Arts/Culture,TV Production
Vodafone NZ Music Awards 2015,"$165,867",Jul 2015,MediaWorks TV,TV3,1 x 130 mins,Arts/Culture,TV Production
Ewen Gilmour: Westie Legend,"$19,180",Jul 2015,MediaWorks TV,TV3,1 x 60 mins,Comedy,TV Production
The Gloriavale Project - Part 3,"$170,000",Jul 2015,Pacific Screen,TV 2,1 x 60 mins,Documentary,TV Production
Heritage Rescue,"$628,525",Jul 2015,Top Shelf Productions Ltd,Choice TV,8 x 60 mins,Arts/Culture,TV Production
I Am Innocent 2,"$964,819",Jul 2015,Screentime New Zealand,TV One,8 x 60 mins,Documentary,TV Production
Jean,"$3,256,700",Jul 2015,Lippy Pictures,TV One,1 x 120 mins,Drama,TV Platinum Fund
Karena And Kasey's Diplomatic Mission,"$991,333",Jul 2015,Imagination Television,TV One,10 x 30 mins,Documentary,TV Production
Lost And Found 2,"$935,846",Jul 2015,Warner Bros. International Television ProductionNZ,TV3,10 x 60 mins,Documentary,TV Production
Waru,"$215,000",Jul 2015,Brown Sugar Apple Grunt Productions,Maori Television,8 x 10 mins,Drama,TV Digital Funding
Westside 2,"$7,617,000",Jul 2015,South Pacific Pictures,TV3,10 x 60 mins,Drama,TV Production
The Guinea Pig Club,"$199,500",May 2015,Crimbil Equities,TV One,1 x 120 mins,Drama,TV Production
Kiingitanga - The Untold Story,"$574,540",May 2015,Enter The Dragon,Maori Television,3 x 60 mins,Documentary,TV Production
University Challenge,"$303,918",May 2015,Cue Productions,Prime,19 x 30 mins,Youth,TV Production
Attitude Awards 2015,"$162,200",May 2015,Attitude Pictures,TV One,1 x 60 mins,Special Interest,TV Production
TV Captioning & Audio Description 2015/16,"$2,800,000",May 2015,Media Access Charitable Trust (ABLE),Captioning and Audio Description,,,Captioning and Audio Description
Beyond The Bullies,"$177,000",Mar 2015,Te Amokura Productions,Prime,1 x 60 mins,Documentary,TV Production
2Kaha 2015,"$1,025,000",Mar 2015,Whitebait Productions,TV 2,25 x 30 mins,Youth,TV Production
Chopper's Republic Of Anzakistan,"$90,080",Mar 2015,Hikoi NZ,TV3,6 x 30 mins,Comedy,TV Production
Decades In Colour,"$580,060",Mar 2015,Greenstone TV,Prime,3 x 60 mins,Documentary,TV Platinum Fund
